Questions,Answers
What is the working hours ? ,"The staff in general shift will work from 9.30 a.m. to 5.30 p.m. six days a week, with a lunch-break of half-anhour. "
Detailed information of working shifts ?,"Employees working in the shifts will be informed, well in advance about the schedule of their shifts. You are expected to strictly adhere to the shift timings and a change in shifts will be permitted only under deserving circumstances. In the event of the reliever not coming and if an employee continues for two shifts, the employee will be eligible for compensatory off. The compensatory off should be availed within one month with prior 
permission."
What is my training/probation period.?,The period of probation for all levels shall be six months.A new employee employed in the organization will undergo a probationary period. The objective of the probationary period is to give an opportunity to the organization determine each other’s initial expectations.
What to do if I want to leave my work during training period.?,"During the probation period, if the person wishes to leave employment, they are required to serve a notice period of 30 days. If the person is removed from employment by the organization, a 30 day notice or severance pay will be owed by the organization to the individual."
Do I get certification for my probation period.?,Signed copy of confirmation letter and filled-out review form filed in employee’s personal file
Do I get reviewed for during my training/probation period.?,"The performance is reviewed after three months and the employee is either confirmed or terminated depending on the advice of the concerned supervisor/ reviewing authority.
The probation extension can be done only twice for a maximum period of six months (two spells of three months each)"
Incase of poor performance what will happen.?,"Probation extension: Letter to be issued to the employee if the concerned supervisor does not approve the confirmation.
This needs to be ratified by the next higher authority. The probation can be extended by Three months."
Do I get salary in advance.?,Employees who have completed one year of employment with Ideassion Technology Solutions are eligible for a salary advance.This is a facility extended to the Employees but not a privilege.
How much do I get advance amount of salary.?,The advance amount is limited to employee’s two months’ Net Take Home Pay.
how do I repay my loan amount .?,Interest free recovery will be in equated monthly installments and will commence immediately from the following month’s salary. Salary advance needs to be repaid within 10 equated monthly installments.
why my salary advance get rejected.?,Management reserves the right to decline requests for advances without any reasoning
Do we have  severe action against sexual harrasment.?,"On 13th August 1997, the Supreme Court in its Judgment in the case of Visakha Vs. State of Rajasthan issued certain guidelines pertaining to sexual harassment.Any employee found guilty of sexual harassment shall be liable to be punished."
What is the punishment for sexually harrasing.?,"An employee guilty of sexual harassment shall be liable for any of the following penalties:
a) Warning, reprimand or censure;
b) Withholding of an increment for a period not exceeding one year;
c) Reduction in rank;
d) Termination of service
In addition to these penalties the employee concerned may also be fined up to Rs. 5,000/-, which amount the Management for achieving the aims and objectives of this policy will use.
Provided however, that in addition to all these penalties the employee can also be required to give a written apology to the victim and upon his failure to do so his punishment can be enhanced."
How to resign from my Job.?,Employee has to raise separation request in HR SystemEmployee will have one-one retention meeting Reporting/functional manager & HR.Employee has to serve the notice period as applicable in line with his current grade or required to pay the amount due in lieu of such notice period.
Can I retire from my Job.?,Separation on the employee completing 58 years of age. The date of retirement shall be the last working day of the month in which the employee completes 58 years of age.
Can we work when we expected?,"It is your individual responsibility to come to work when you are expected to. Emergencies happen. When they  do, inform your immediate Superior early so that alternate arrangements can be made rapidly. "
How to change the shift schedules?,Employees are expected to strictly adhere to the shift timings and the shifts. Changes in shift schedule are permitted only with prior approval from the superiors. 
Bring some attendance policies !,"All employees shall mark their attendance in the time recording system maintained at the Office. Notification from time to time will help employees understand as to how the time office / Leave Management Software to be used for the fullest potential and satisfaction of the employee and the management for effective leave administration.
Employees who are found not swiping in/out would be considered as serious is conduct."
List the leave coverage ?,"• Privilege Leave (PL) 
• Casual Leave (CL) 
• Sick Leave (SL) 
• Loss of Pay (LOP) 
• Maternity Leave (ML) 
• Paternity Leave 
• Relocation leave 
• Compensatory Off 
• Bereavement Leave"
What are credit in HR system for Casual leave ?,"• 1 leave per month,credited in HR system on 1st of every month 
• For all employees 1 CL will be credited every 
month (from subsequentmonth of joining) 
• Joiners after 15th of the month will be eligible for.5 leave credit during subsequent month 
• If an employee is on leave for 25 days or more in a payroll month 
(CL/SL/PL/LOP or combination of all), he /she will not be eligible for CL credit for that
month 
• Employees on ML are eligible for CL credit"
What are accumulation for Casual leave ?,No accumulation is allowed
What are encashment in Casual leave ?,Encashment is not allowed
Is separation applicable for Casual leave ! ,Not Applicable on Separation
Is interventing Holidays is accounting as leave !,"Prefix, Suffix, Intervening weekends & Public Holidays will not be treated as 
Leave"
When Salary considered for Encashment Whilst in service for casual leave ?,Last drawn Gross Salary (excluding Monthly Bonus and PBVP) will be considered Calculation as follows: • Last Drawn Gross Salary / 30 days * No. of CL days at credit
Do we have On separation If employee gives notice and works for the full notice period for Casual leave? ,Not Applicable
Do we have on separation  If employee absconds without notice / gives notice and does not work for the complete notice period for casual leave?,Not Applicable
Do we have Availing Leave During Notice Period while Casual leave ?,"For emergencies leave may be granted for very short duration subject to sanction by HOD .
1 Day CL per month can be availed during notice period (NP) & extension of Notice period is not required for such leave days. i.e. Any leaves beyond 2 days of CL in a 60 days of notice may be asked to extend based on business need / permitted on a case to
case basis without extension of NP by respective Functional Heads based on the situation"
How much minimum leave allowed at a time of casual leave ?,0.5 Day
What are the combination with other leave while in casual leave ?,"Can be combined with SL, PL"
What are the advance credit of Casual leaves ?,Not Allowed
What are credit in HR system for sick leave ?,"• 1 leave per month,credited in HR system on 1st of every month 
• For all employees 1 SL will be credited every month (from subsequent month of joining) 
• Joiners after 15th of the month will be eligible for 5 leave credit during subsequent month 
• If an employee is on leave for 25 days or more in a payroll month (CL/SL/PL/LOP or combination of all), he/she will not be eligible for SL credit for that month 
• Employees on ML are eligible for SL credit"
What are accumulation for sick leave ?,No accumulation is allowed
What are encashment in sick leave ?,Encashment is not allowed
Is separation applicable for sick leave ! ,Not Applicable on Separation
When Salary considered for Encashment Whilst in service for sick leave ?,Not Applicable
Do we have On separation If employee gives notice and works for the full notice period for sick leave? ,Not Applicable
Do we have on separation If employee absconds without notice / gives notice and does not work for the complete notice period for casual leave?,Not Applicable
Do we have Availing Leave During Notice Period while sick leave ?,"• For emergencies leave may be granted for very short duration subject to sanction by HOD 
• 1 Day SL per month can be availed during notice period (NP) & extension of Notice period is not required for such leave days. i.e. Any leaves beyond 2 days of SL in a 60 days of notice may be asked to extend based on business need / permitted on a case to case basis without extension of NP by respective Functional Heads based on the situation"
How much minimum leave allowed at a time of sick leave ?,0.5 Day
What are the combination with other leave while in sick leave ?,"Can be combined with CL, PL"
What are the advance credit of sick leaves ?,Not Allowed
What are credit in HR system for privilage leave ?,"• 1 leave per month, credited in HR system on 1st of every month 
• For all employees 1 PL will be credited every month (from subsequent month of joining) 
• Joiners after 15th of the month will be eligible for .5 leave credit during subsequent month 
• For employees who are above 1year of service as on 1st December of each year PL balance after 
encashment if any will be carry forwarded and 1 day will be credited as PL in every subsequent 
month. 
• If an employee is on leave for 25 days or more in a payroll month (CL/SL/PL/LOP or 
combination of all), he/she will not be eligiblefor PL credit for that month"
What are accumulation for privilage leave ?,48 days including the leave credit of immediate previous year
What are encashment in privilage leave ?,"• Applicable for employees in all bands. 
• Auto encashment of leaves over and above 48 at the end of each leave calendar ie 31 December.
• This is subject to Tax and will be paid along with January Salary each year"
Is separation applicable for privilage leave ! ,Entire leave to credit can be encashed
When Salary considered for Encashment Whilst in service for privilage leave ?,"• Last drawn Basic Salary will be considered Calculation as follows: 
• Last Drawn Basic Salary / 30 days x No. of PL days at credit"
Do we have On separation If employee gives notice and works for the full notice period for privilage leave? ,"Last drawn basic salary / 30 days x no. of PL days at credit (including PL 
earned for current year on pro rata basis) 
• Last drawn basic salary / 30 days x no. of PL days at credit (including PL 
earned for current year on pro rata basis) after deducting PL for waiving of notice period"
Do we have on separation  If employee absconds without notice / gives notice and does not work for the complete notice period for privilage leave?,"Last drawn basic salary / 30 days x no. of PL days at credit (including PL 
earned for current year on pro rata basis) 
• Last drawn basic salary / 30 days x no. of PL days at credit (including PL 
earned for current year on pro rata basis) after deducting PL for waiving of notice period"
Do we have Availing Leave During Notice Period while privilage leave ?,"• For emergencies leave may be granted for veryshort duration subject to 
sanction by HOD 
• If employee avails more than 1 day leave during notice, he/she may be 
asked to extend notice period for the leave days based on business need."
How much minimum leave allowed at a time of privilage leave ?,1 Day
What are the combination with other leave while in privilage leave ?,"Can be combined with CL, SL"
What are the advance credit of privilage leaves ?,Not Allowed
Does Loss of pay applicable for the leave ?,"• LOP is also an authorized form of leave and has to be applied and approved through HR System.
• LOP can be applied in the absence of non-availability of other eligible leave to employee’s credit. 
• LOP will also include intervening holidays and weekends."
Detailed information of Materity Leave(ML) ?,"The Amendments: 
• Maternity Leave will be for 26 weeks (182 days). 
• Employee can proceed on ML 8 weeks prior to the expected delivery date as certified by Doctor. 
• Employees who currently have two (surviving) or more children shall be entitled to maternity benefits of 12 
weeks, out of which not more than six weeks shall precede the date of delivery 
• A commissioning mother (our employee), who wishes to get embryo implanted in another woman; and a woman 
(our employee) who legally adopts a child up to the age of three months, will be considered as the ‘insured 
woman’; and shall be entitled to maternity benefits of 12 weeks from the date of handing over of the child after 
birth to the commissioning mother, and from the date of such adoption, as the case may be 
• If an employee resigns from employment during Maternity Leave without resuming duty, the benefit shall be 
extended only up to the last day of the employment with the Company.
• The woman employee can proceed on maternity leave up to a maximum of 8 weeks but compulsorily 1 week 
before the delivery date. The woman employee must compulsorily avail 8 weeks of maternity leave after the 
delivery date. 
• The maximum leaves permitted under maternity are 06 months. Any extension/exception on the policy to be 
approved by Head of HR. Extension of maternity leave beyond 6 months is applicable only for confirmed 
employees with a minimum service of 6 months.
• Employee will not be eligible for PL credit during Maternity leave. 
• For the purpose of Maternity or Miscarriage / Medical termination of Pregnancy intervening weekends / holidays 
will be calculated as leave days. 
• In case of miscarriage or medical termination of pregnancy for any reason, the number of days of leave will be 
limited to 6 weeks (42 continuous days) from the date of such occurrence. Application for ML of this nature 
should be supported with a proper medical certificate. 
• Employees desirous of availing ML have to fill up maternity application from & Form A available with HR BP 
and submit the same along with doctors certificates, stating expected date of delivery. 
• HR will validate the documents & apply ESI or ML as applicable in HR System on behalf of employee. The 
same will be auto approved. 
• Proof of birth certificate or Discharge summary copy has to be submitted post-delivery."
What is Paternity Leave ?,"All confirmed male employees are eligible for Paternity Leave of 5 working days for the birth or adoption of a 
child. 
• Employees desirous of availing this benefit must provide Birth certificate or discharge summary of the child to 
respective HR. 
• Discharge summary is entertained only in absence of birth certificate & same should have name of mother, date 
of birth of child & authorised seal & sign of the Registered Medical Practitioner. 
• Paternity Leave will be credited and the same has to be applied in HR System & sanctioned by reporting 
authority before proceeding on leave. 
• This leave must be taken within 60 days from the date of birth of the child or adoption and all five days should 
be availed at one stretch. 
• This leave is not eligible for encashment or accumulation. 
• This leave will be available twice during the tenure of service. 
• Employees having two children will not be entitled to this benefit."
What is Leave on Transfer (Business Purposes)  ?,"• In case of business transfer or relocation, an employee can avail of travel leave up to a maximum of 3 working 
days, excluding the number of days of travel. 
• Relocation leave will be credited by HR based on approval from HOD 
• Employee has to apply & get the same approved in HR system
• This must be availed within 03 Months of relocation. 
• This leave is subject to discretion of management. "
